Bio_id,Uniprot_id
36225,Q12527
4627,Q8L500
10486,Q9M1X4
24122,Q9SQI2
2463,Q9SL93
1765,Q8W420
21503,Q9LKL2
248,O81057
14851,O49484
19474,Q9FHW7
21376,Q9LVG4
4539,A8MQG7
17793,Q6LA42
13519,Q7Y1C5
24933,Q9C7E8
16717,Q39057
21086,Q94BT6
23843,Q9LNT9
22720,O80536
10390,Q84LH8
24741,Q8L9T7
22115,Q08467
19384,Q9FN69
2486,O82804
4631,P92973
28354,Q9C9W9
27224,P28148
10962,Q94AH6
13225,O81283
16718,O50055
1522,Q9SLF3
188,Q8L5Y6
28402,Q8LG76
24483,O23680
6247,Q9LUS2
13731,A2RVM0
3919,O04197
22446,Q8LPR9
2439,Q9SKK0
15389,Q9SVA3
10646,Q9M310
15661,Q38906
170,Q9ZVQ6
24535,Q9FE22
89,Q9SLH3
3204,P43254
20269,Q9FGY4
1751,P14713
22724,P14712
4577,Q9SYX2
22827,O82798
22877,P43291
4579,Q9SKE2
12613,P42497
13299,Q8LEA8
24820,Q8GW32
10787,Q570C0
7113,Q9LIE5
12470,Q9SWG3
6876,P28769
11769,Q43125
28683,Q9FVU9
25859,P11035
21858,Q9SPL2
10769,Q8H1D4
25217,Q39090
9772,Q9LFA2
5476,P54609
16552,Q8W575
7211,Q38825
21965,Q9FHN8
2522,P18064
14829,Q9M7Q3
6796,Q9M7Q2
5485,Q8L850
132,Q9LKW9
26620,Q9M7Q5
26320,Q9M7Q4
27954,P93002
18094,Q8LKS5
27871,Q9SH30
14823,Q940H6
16187,P48349
24497,O22315
28733,Q94AG2
6358,P93045
17324,P46014
3274,Q84JG2
5648,P49598
4710,Q8W475
17769,O81223
9354,P24100
7895,P92958
27513,Q9ZWS9
31278,Q04673
14846,P42753
19562,Q8L5U0
21066,Q9LL84
22664,Q944A6
24636,O23702
27035,Q6Q151
21910,P48348
11720,Q681I0
24076,P48347
14178,Q9STP8
28172,P49333
3432,Q944A9
12898,Q39011
18927,Q9FHW2
11138,Q0WPF2
7050,Q9LDC0
14764,Q94F62
17021,Q9LZM8
5977,Q9LUM4
27854,Q9C8T1
4961,Q9SR06
29064,Q8S307
23198,Q42510
24730,Q38830
3043,Q9SID1
17728,Q9LKF9
20941,Q8LAS7
7372,Q9LV58
20485,Q9FGR0
2935,O22932
6360,Q8W191
14527,Q8GWT4
25160,A9LNK9
14136,Q93VY3
26947,Q9C932
6123,Q9LDY8
5009,Q9MAA7
15375,O22476
18064,Q940G6
10790,Q9LYC1
13811,Q9STX3
6127,O24409
23812,P93024
17471,P93022
19912,Q8LGH4
10169,Q9LES2
5891,Q9LJD7
17454,Q940X7
